"2022-05-08 12:54:08.029" - "MAGNETOMETER" - "14.875,-40.125,-25.25"
"2022-05-08 12:54:08.035" - "ACCELEROMETER" - "-0.17210671,4.309463,6.6307516"
"2022-05-08 12:54:08.036" - "GYROSCOPE" - "0.10646508634090424,0.02874557301402092,-0.012775810435414314"
"2022-05-08 12:54:08.037" - "LIGHT" - "27.0"
"2022-05-08 12:54:08.050" - "MAGNETOMETER" - "15.125,-40.1875,-25.1875"
"2022-05-08 12:54:08.051" - "ACCELEROMETER" - "-0.52757484,4.304767,6.466299"
"2022-05-08 12:54:08.052" - "GYROSCOPE" - "-0.13840460777282715,0.17034412920475006,-0.0031939526088535786"
"2022-05-08 12:54:08.069" - "MAGNETOMETER" - "15.25,-40.1875,-25.5"
"2022-05-08 12:54:08.071" - "ACCELEROMETER" - "-0.694035,4.2683063,6.8542585"
"2022-05-08 12:54:08.072" - "GYROSCOPE" - "-0.3044901490211487,0.330041766166687,0.03300417587161064"
"2022-05-08 12:54:08.089" - "MAGNETOMETER" - "15.4375,-39.875,-25.75"
"2022-05-08 12:54:08.092" - "ACCELEROMETER" - "-0.812527,4.587352,6.8543653"
"2022-05-08 12:54:08.093" - "GYROSCOPE" - "-0.22251202166080475,0.3864682614803314,0.05323254317045212"
"2022-05-08 12:54:08.110" - "MAGNETOMETER" - "15.4375,-40.0,-25.875"
"2022-05-08 12:54:08.111" - "ACCELEROMETER" - "-0.697973,4.7405653,6.6177273"
"2022-05-08 12:54:08.111" - "GYROSCOPE" - "-0.12349949777126312,0.2778738737106323,0.05536184459924698"
"2022-05-08 12:54:08.129" - "MAGNETOMETER" - "15.625,-39.8125,-26.125"
"2022-05-08 12:54:08.131" - "ACCELEROMETER" - "-0.32312912,5.1462235,6.660815"
"2022-05-08 12:54:08.132" - "GYROSCOPE" - "-0.08836601674556732,0.12349949777126312,-0.040456730872392654"
"2022-05-08 12:54:08.149" - "MAGNETOMETER" - "16.125,-39.4375,-26.0625"
"2022-05-08 12:54:08.153" - "ACCELEROMETER" - "-0.39078736,5.017442,7.1901674"
"2022-05-08 12:54:08.153" - "GYROSCOPE" - "-0.12137019634246826,0.25019294023513794,-0.22144737839698792"
"2022-05-08 12:54:08.154" - "LIGHT" - "27.0"
"2022-05-08 12:54:08.170" - "MAGNETOMETER" - "16.4375,-39.3125,-26.125"
"2022-05-08 12:54:08.172" - "ACCELEROMETER" - "-0.91329795,4.677703,7.075445"
"2022-05-08 12:54:08.173" - "GYROSCOPE" - "-0.03619812801480293,0.36943385004997253,-0.3055547773838043"
"2022-05-08 12:54:08.194" - "MAGNETOMETER" - "17.0625,-39.1875,-25.875"
"2022-05-08 12:54:08.195" - "ACCELEROMETER" - "-1.4617579,4.4321156,6.70041"
"2022-05-08 12:54:08.196" - "GYROSCOPE" - "0.0351334773004055,0.46525242924690247,-0.3012961745262146"
"2022-05-08 12:54:08.209" - "MAGNETOMETER" - "17.375,-39.1875,-25.625"
"2022-05-08 12:54:08.210" - "ACCELEROMETER" - "-1.6482222,4.3539076,6.3034315"
"2022-05-08 12:54:08.211" - "GYROSCOPE" - "0.014905111864209175,0.5898165702819824,-0.22144737839698792"
"2022-05-08 12:54:08.229" - "MAGNETOMETER" - "17.625,-39.25,-25.5625"
"2022-05-08 12:54:08.231" - "ACCELEROMETER" - "-1.4264233,4.4962263,6.3310127"
"2022-05-08 12:54:08.232" - "GYROSCOPE" - "-0.08730136603116989,0.5940751433372498,-0.20441296696662903"
"2022-05-08 12:54:08.249" - "MAGNETOMETER" - "18.0,-39.1875,-25.3125"
"2022-05-08 12:54:08.250" - "ACCELEROMETER" - "-1.3734291,4.211451,6.445421"
"2022-05-08 12:54:08.251" - "GYROSCOPE" - "-0.043650683015584946,0.7974234819412231,-0.18844319880008698"
"2022-05-08 12:54:08.269" - "MAGNETOMETER" - "18.25,-39.25,-25.0"
"2022-05-08 12:54:08.271" - "ACCELEROMETER" - "-1.8861252,4.074272,5.7382927"
"2022-05-08 12:54:08.273" - "GYROSCOPE" - "-0.019163714721798897,0.8048760294914246,-0.1650208830833435"
"2022-05-08 12:54:08.273" - "LIGHT" - "28.0"
"2022-05-08 12:54:08.289" - "MAGNETOMETER" - "18.75,-39.5,-24.375"
"2022-05-08 12:54:08.293" - "ACCELEROMETER" - "-1.8096716,4.4517136,4.8899636"
"2022-05-08 12:54:08.294" - "GYROSCOPE" - "0.43011894822120667,0.43224823474884033,-0.26403340697288513"
"2022-05-08 12:54:08.309" - "MAGNETOMETER" - "18.6875,-39.75,-23.75"
"2022-05-08 12:54:08.310" - "ACCELEROMETER" - "-2.949603,3.7291937,4.953301"
"2022-05-08 12:54:08.311" - "GYROSCOPE" - "0.5717175006866455,-0.3396236300468445,-0.2203827202320099"
"2022-05-08 12:54:08.329" - "MAGNETOMETER" - "18.5,-39.9375,-23.5"
"2022-05-08 12:54:08.332" - "ACCELEROMETER" - "-2.4469583,3.782264,5.3166604"
"2022-05-08 12:54:08.332" - "GYROSCOPE" - "0.2416757345199585,-0.09155996888875961,0.01171115878969431"
"2022-05-08 12:54:08.349" - "MAGNETOMETER" - "18.375,-40.0,-23.25"
"2022-05-08 12:54:08.351" - "ACCELEROMETER" - "-2.307819,3.8668084,5.3223143"
"2022-05-08 12:54:08.351" - "GYROSCOPE" - "-0.042586032301187515,0.31087803840637207,0.11711159348487854"
"2022-05-08 12:54:08.369" - "MAGNETOMETER" - "18.125,-40.1875,-23.375"
"2022-05-08 12:54:08.371" - "ACCELEROMETER" - "-2.535149,3.819353,5.264708"
"2022-05-08 12:54:08.371" - "GYROSCOPE" - "-0.29916688799858093,0.377951055765152,0.3044901490211487"
"2022-05-08 12:54:08.389" - "MAGNETOMETER" - "17.875,-40.1875,-23.4375"
"2022-05-08 12:54:08.392" - "ACCELEROMETER" - "-1.9484205,4.1733503,5.5732493"
"2022-05-08 12:54:08.392" - "GYROSCOPE" - "-0.3885975480079651,0.41521382331848145,0.3790156841278076"
"2022-05-08 12:54:08.392" - "LIGHT" - "29.0"
"2022-05-08 12:54:08.409" - "MAGNETOMETER" - "17.5625,-39.875,-23.5625"
"2022-05-08 12:54:08.411" - "ACCELEROMETER" - "-1.7282844,4.5226965,5.527319"
"2022-05-08 12:54:08.412" - "GYROSCOPE" - "-0.30023154616355896,0.13840460777282715,0.27148595452308655"
"2022-05-08 12:54:08.429" - "MAGNETOMETER" - "17.5625,-39.75,-23.5625"
"2022-05-08 12:54:08.431" - "ACCELEROMETER" - "-1.5545917,4.6704707,5.786851"
"2022-05-08 12:54:08.432" - "GYROSCOPE" - "-0.18311993777751923,-0.18737854063510895,0.10327113419771194"
"2022-05-08 12:54:08.449" - "MAGNETOMETER" - "17.5625,-39.625,-23.625"
"2022-05-08 12:54:08.450" - "ACCELEROMETER" - "-1.6277046,4.348123,6.3593907"
"2022-05-08 12:54:08.452" - "GYROSCOPE" - "-0.1362753063440323,-0.2384817898273468,-0.006387905217707157"
"2022-05-08 12:54:08.469" - "MAGNETOMETER" - "17.4375,-39.375,-23.8125"
"2022-05-08 12:54:08.473" - "ACCELEROMETER" - "-1.8048527,4.261327,6.4996862"
"2022-05-08 12:54:08.474" - "GYROSCOPE" - "-0.10752973705530167,-0.03406882658600807,-0.017034413293004036"
"2022-05-08 12:54:08.489" - "MAGNETOMETER" - "17.4375,-39.25,-24.125"
"2022-05-08 12:54:08.491" - "ACCELEROMETER" - "-2.0304132,4.2713404,6.3757477"
"2022-05-08 12:54:08.491" - "GYROSCOPE" - "-0.06920230388641357,-0.043650683015584946,0.022357666864991188"
"2022-05-08 12:54:08.509" - "MAGNETOMETER" - "17.1875,-39.1875,-24.1875"
"2022-05-08 12:54:08.513" - "ACCELEROMETER" - "-2.0289729,4.2797446,6.516864"
"2022-05-08 12:54:08.514" - "GYROSCOPE" - "0.005323254037648439,-0.1362753063440323,0.08091346174478531"
"2022-05-08 12:54:08.514" - "LIGHT" - "28.0"
"2022-05-08 12:54:08.529" - "MAGNETOMETER" - "17.125,-39.125,-24.1875"
"2022-05-08 12:54:08.531" - "ACCELEROMETER" - "-1.86262,4.3803244,6.723171"
"2022-05-08 12:54:08.531" - "GYROSCOPE" - "0.13414600491523743,-0.1511804163455963,0.11498229205608368"
"2022-05-08 12:54:08.549" - "MAGNETOMETER" - "16.9375,-39.125,-24.0"
"2022-05-08 12:54:08.550" - "ACCELEROMETER" - "-1.1742928,4.6100373,6.637478"
"2022-05-08 12:54:08.551" - "GYROSCOPE" - "0.1895078420639038,-0.06174974888563156,0.06600835174322128"
"2022-05-08 12:54:08.569" - "MAGNETOMETER" - "17.125,-39.3125,-23.6875"
"2022-05-08 12:54:08.571" - "ACCELEROMETER" - "-1.0701047,4.6485515,6.899086"
"2022-05-08 12:54:08.571" - "GYROSCOPE" - "0.22570598125457764,0.11391764134168625,-0.039392080157995224"
"2022-05-08 12:54:08.589" - "MAGNETOMETER" - "17.3125,-39.1875,-23.5625"
"2022-05-08 12:54:08.592" - "ACCELEROMETER" - "-1.3359416,4.509519,6.2265415"
"2022-05-08 12:54:08.592" - "GYROSCOPE" - "0.23209388554096222,0.2917143404483795,-0.12456414848566055"
"2022-05-08 12:54:08.640" - "MAGNETOMETER" - "17.4375,-39.125,-23.25"
"2022-05-08 12:54:08.640" - "ACCELEROMETER" - "-1.8313537,4.4127245,5.7432423"
"2022-05-08 12:54:08.641" - "GYROSCOPE" - "0.1437278687953949,0.26509806513786316,-0.10114183276891708"
"2022-05-08 12:54:08.641" - "MAGNETOMETER" - "17.25,-39.3125,-23.1875"
