"2022-05-07 15:09:04.175" - "TYPE_PROXIMITY" - "5.0"
"2022-05-07 15:09:05.694" - "MAGNETOMETER" - "-15.375,3.625,-38.6875"
"2022-05-07 15:09:05.696" - "ACCELEROMETER" - "0.077242695,1.5753233,8.100998"
"2022-05-07 15:09:05.696" - "GYROSCOPE" - "-0.3885975480079651,-0.4162784814834595,0.08091346174478531"
"2022-05-07 15:09:05.714" - "MAGNETOMETER" - "-15.375,3.6875,-38.4375"
"2022-05-07 15:09:05.716" - "ACCELEROMETER" - "0.6022509,1.652344,8.998682"
"2022-05-07 15:09:05.717" - "GYROSCOPE" - "-0.2693566679954529,-0.22144737839698792,0.0021293016616255045"
"2022-05-07 15:09:05.717" - "LIGHT" - "28.0"
"2022-05-07 15:09:05.734" - "MAGNETOMETER" - "-15.75,3.875,-38.375"
"2022-05-07 15:09:05.736" - "ACCELEROMETER" - "0.93589157,1.9279952,9.389392"
"2022-05-07 15:09:05.736" - "GYROSCOPE" - "-0.012775810435414314,0.020228365436196327,-0.16395622491836548"
"2022-05-07 15:09:05.754" - "MAGNETOMETER" - "-15.875,3.75,-38.4375"
"2022-05-07 15:09:05.756" - "ACCELEROMETER" - "0.9370025,1.9034938,8.517359"
"2022-05-07 15:09:05.756" - "GYROSCOPE" - "0.15011577308177948,0.3119426965713501,-0.4173431396484375"
"2022-05-07 15:09:05.778" - "MAGNETOMETER" - "-16.0,3.5625,-38.5625"
"2022-05-07 15:09:05.779" - "ACCELEROMETER" - "0.45724273,1.320864,7.681105"
"2022-05-07 15:09:05.779" - "GYROSCOPE" - "0.23741713166236877,0.013840461149811745,-0.580234706401825"
"2022-05-07 15:09:05.794" - "MAGNETOMETER" - "-16.125,3.25,-38.5"
"2022-05-07 15:09:05.796" - "ACCELEROMETER" - "0.22601265,1.1577363,7.3865376"
"2022-05-07 15:09:05.796" - "GYROSCOPE" - "0.17673203349113464,0.02661627158522606,-0.659018874168396"
"2022-05-07 15:09:05.814" - "MAGNETOMETER" - "-16.1875,2.9375,-38.375"
"2022-05-07 15:09:05.816" - "ACCELEROMETER" - "0.09290269,1.1247537,7.341734"
"2022-05-07 15:09:05.817" - "GYROSCOPE" - "0.02555162087082863,0.02661627158522606,-0.638790488243103"
"2022-05-07 15:09:05.834" - "MAGNETOMETER" - "-16.4375,2.6875,-38.375"
"2022-05-07 15:09:05.836" - "ACCELEROMETER" - "-0.030232066,0.7421489,7.5324345"
"2022-05-07 15:09:05.837" - "GYROSCOPE" - "0.09155996888875961,0.03619812801480293,-0.5770407319068909"
"2022-05-07 15:09:05.837" - "LIGHT" - "27.0"
"2022-05-07 15:09:05.854" - "MAGNETOMETER" - "-16.5625,2.625,-38.5625"
"2022-05-07 15:09:05.856" - "ACCELEROMETER" - "0.18724573,1.1495769,7.0772066"
"2022-05-07 15:09:05.856" - "GYROSCOPE" - "0.08623671531677246,0.19057250022888184,-0.6281439661979675"
"2022-05-07 15:09:05.874" - "MAGNETOMETER" - "-16.5,2.5,-38.8125"
"2022-05-07 15:09:05.875" - "ACCELEROMETER" - "-0.09723906,1.0799037,6.541258"
"2022-05-07 15:09:05.876" - "GYROSCOPE" - "0.004258603323251009,0.12775810062885284,-0.6930876970291138"
"2022-05-07 15:09:05.894" - "MAGNETOMETER" - "-16.75,2.375,-38.75"
"2022-05-07 15:09:05.896" - "ACCELEROMETER" - "-0.4275393,1.0292538,7.0270624"
"2022-05-07 15:09:05.896" - "GYROSCOPE" - "0.0351334773004055,-0.0596204474568367,-0.6643421053886414"
"2022-05-07 15:09:05.914" - "MAGNETOMETER" - "-16.9375,2.0,-38.5625"
"2022-05-07 15:09:05.916" - "ACCELEROMETER" - "-0.45177245,0.6790186,6.9954286"
"2022-05-07 15:09:05.916" - "GYROSCOPE" - "0.16395622491836548,-0.3683691918849945,-0.5706528425216675"
"2022-05-07 15:09:05.934" - "MAGNETOMETER" - "-17.3125,1.6875,-38.4375"
"2022-05-07 15:09:05.936" - "ACCELEROMETER" - "-0.76186943,0.6275337,7.569868"
"2022-05-07 15:09:05.936" - "GYROSCOPE" - "0.2938436269760132,-0.4279896318912506,-0.4162784814834595"
