;UT;precision;pressure;duration;acceleration;rotation;magneticField
160;UT1;88.89036247805495;0.18039216;40000;7.707269972737239;0.6571423230372804;41.06140599760315
161;UT1;46.14293728188531;0.06666667;62000;7.373670292602466;0.34379816918254835;39.331672590292925
162;UT1;110.43920480876527;0.1764706;52000;6.910131650822861;0.7429218729067325;41.36848513663511
163;UT1;26.10329809679234;0.10196079;47000;8.281310606119824;0.4976169422284768;38.93815208121721
164;UT1;92.83655748707828;0.19607845;47000;7.760739551158801;0.49733441849362287;40.83833409004339
165;UT1;49.032134145884434;0.12941177;93000;7.364589783396963;0.5988421953727929;40.63221089849776
166;UT1;79.48981743103955;0.16078432;71000;7.28772846311631;0.563346166888981;40.09636828940995
167;UT1;26.68404032433806;0.121568635;63000;7.289201747328382;0.38230600686917665;40.251213102837035
168;UT1;41.818608642623445;0.1254902;62000;7.17126269287728;0.5184018792139412;39.94263464645265
169;UT1;67.28551222683002;0.16862746;47000;8.11161975926914;0.48951482146324393;40.2401482508452
170;UT1;56.810315954498904;0.10588236;55000;7.450062364088144;0.3552106703126336;40.45087684463713
171;UT1;27.319981074144252;0.20392159;41000;7.244738683729992;0.18932833242775954;39.9335874452822
172;UT1;36.76000168331882;0.0627451;55000;7.4105418797602045;0.1480477285470523;40.393619932484384
173;UT1;86.16176208381302;0.20784315;44000;7.745756652734353;0.5224963159730405;39.793264583972
174;UT1;11.69175785096497;0.07450981;81000;6.65651023700284;0.31716768706933396;40.975078172591694
175;UT1;120.58982931240759;0.20784315;47000;7.501633573513312;0.473940645914231;40.212715650649606
176;UT1;19.217047163911555;0.078431375;62000;7.146124195530197;0.04259933878580958;40.251698333734936
177;UT1;132.12182819632798;0.18039216;47000;7.4952084271069195;0.3898396129781975;39.37857126661657
178;UT1;47.13510987934163;0.08235294;47000;7.465974374121554;0.6308215775152773;40.3841901305449
179;UT1;99.80094932774944;0.16470589;56000;7.2393910438940505;0.2851615289661818;40.05435759689575
180;UT2;43.85864496310847;0.13333334;80000;7.294270716435142;0.2628415707856464;42.50321679002661
181;UT2;63.11097329394951;0.24313727;79000;6.918813595209655;0.11015921012411427;42.825271817584536
182;UT2;49.693012352270415;0.14509805;71000;7.452511453273091;0.13922930416599083;42.453881227162256
183;UT2;106.84345689245549;0.20000002;90000;8.284134058956765;0.3376705905755799;42.328052902301096
184;UT2;41.968240925238945;0.1764706;70000;6.765061355367444;0.3090313109816058;41.97274040969925
185;UT2;19.66082700320613;0.09019608;55000;7.495456452593507;0.12019714761225914;41.929675126931286
186;UT2;49.70289265833937;0.19607845;70000;7.052241250831161;0.4925238585349679;42.57901661910477
187;UT2;41.64468726992686;0.10196079;63000;7.217925411092042;0.12664423427324145;41.90381471298287
188;UT2;54.92066755125613;0.20784315;70000;7.907551922862147;0.213451205416181;42.221791618783776
189;UT2;61.38847615920753;0.10196079;71000;7.221123380674816;0.44524049852550157;42.1605469455746
190;UT2;85.90177249213197;0.14509805;54000;7.204223322445393;0.3173802530984945;42.431792694275835
191;UT2;23.83355628121825;0.09411766;57000;7.282292981496184;0.15958757322637845;42.35019554264183
192;UT2;47.22589620801284;0.15294118;76000;6.927611276142899;0.13702598224065324;42.856455537643335
193;UT2;17.859541316058476;0.10588236;70000;6.6070939540334335;0.38804296692862317;42.188287029695815
194;UT2;9.437810138612706;0.11764707;39000;7.127069002386188;0.30219208886669857;42.49623145056512
195;UT2;22.171778749637944;0.121568635;79000;7.655860466182213;0.39499981848323773;43.65230162889467
196;UT2;31.78423903147599;0.2627451;94000;9.229649480654814;0.8172601110213678;43.65391233898744
